일          본,,,월계,"5,984","4,119",45.3
,,,누계,"17,569","10,780",63
중          국,,,월계,"44,257","28,988",52.7
,,,누계,"149,413","481,057",-68.9
홍          콩,,,월계,"4,146","6,066",-31.7
,,,누계,"9,633","14,842",-35.1
대          만,,,월계,"2,971","2,141",38.8
,,,누계,"10,637","6,271",69.6
싱    가    폴,,,월계,"1,401","6,786",-79.4
,,,누계,"4,559","14,947",-69.5
말 레 이 시 아,,,월계,"6,023","10,113",-40.4
,,,누계,"19,112","24,416",-21.7
인 도 네 시 아,,,월계,"2,439","3,439",-29.1
,,,누계,"7,102","7,446",-4.6
베    트    남,,,월계,"3,683","2,925",25.9
,,,누계,"7,311","6,573",11.2
태         국,,,월계,"5,140","3,135",64
,,,누계,"18,680","6,257",198.5
기          타,,,월계,"3,119","7,117",-56.2
,,,누계,"12,496","14,654",-14.7
미          국,,,월계,"2,056","4,903",-58.1
,,,누계,"5,841","11,836",-50.7
기          타,,,월계,"5,463","16,365",-66.6
,,,누계,"19,412","36,189",-46.4
